candidate_name,district,constituency,party,votes_total,vote_share_pct,position,gender,age,assets,liabilities,criminal_cases
,,Kolathur,,,,9,,,,,
,,Kolathur,,,,26,,,,,
,,Kolathur,,,,19,,,,,
,,Kolathur,,,,34,,,,,
,,Kolathur,,,,22,,,,,
,,Kolathur,,,,15,,,,,
,,Kolathur,,,,13,,,,,
,,Kolathur,,,,3,,,,,
,,Kolathur,,,,8,,,,,
,,Kolathur,,,,14,,,,,
,,Kolathur,,,,20,,,,,
,,Kolathur,,,,36,,,,,
,,Kolathur,,,,16,,,,,
,,Kolathur,,,,33,,,,,
,,Kolathur,,,,29,,,,,
,,Kolathur,,,,32,,,,,
,,Kolathur,,,,12,,,,,
,,Kolathur,,,,31,,,,,
,,Kolathur,,,,11,,,,,
,,Kolathur,,,,35,,,,,
,,Kolathur,,,,25,,,,,
,,Kolathur,,,,28,,,,,
,,Kolathur,,,,18,,,,,
,,Kolathur,,,,17,,,,,
,,Kolathur,,,,23,,,,,
,,Kolathur,,,,37,,,,,
,,Kolathur,,,,24,,,,,
,,Kolathur,,,,30,,,,,
,,Kolathur,,,,5,,,,,
,,Villivakkam,,,,6,,,,,
,,Villivakkam,,,,9,,,,,
,,Villivakkam,,,,2,,,,,
,,Villivakkam,,,,1,,,,,
,,Villivakkam,,,,12,,,,,
,,Villivakkam,,,,15,,,,,
,,Villivakkam,,,,8,,,,,
,,Villivakkam,,,,4,,,,,
,,Villivakkam,,,,3,,,,,
,,Villivakkam,,,,21,,,,,
,,Villivakkam,,,,16,,,,,
,,Villivakkam,,,,22,,,,,
,,Villivakkam,,,,17,,,,,
,,Villivakkam,,,,10,,,,,
,,Villivakkam,,,,20,,,,,
,,Villivakkam,,,,11,,,,,
,,Villivakkam,,,,7,,,,,
,,Villivakkam,,,,23,,,,,
,,Villivakkam,,,,13,,,,,
,,Villivakkam,,,,14,,,,,
,,Villivakkam,,,,18,,,,,
,,Villivakkam,,,,24,,,,,
,,Villivakkam,,,,19,,,,,
,,Villivakkam,,,,5,,,,,
,,Thiru-Vi-Ka-Nagar,,,,2,,,,,
,,Thiru-Vi-Ka-Nagar,,,,1,,,,,
,,Thiru-Vi-Ka-Nagar,,,,5,,,,,
,,Thiru-Vi-Ka-Nagar,,,,7,,,,,
,,Thiru-Vi-Ka-Nagar,,,,3,,,,,
,,Thiru-Vi-Ka-Nagar,,,,4,,,,,
,,Thiru-Vi-Ka-Nagar,,,,15,,,,,
,,Thiru-Vi-Ka-Nagar,,,,17,,,,,
,,Thiru-Vi-Ka-Nagar,,,,20,,,,,
,,Thiru-Vi-Ka-Nagar,,,,16,,,,,
,,Thiru-Vi-Ka-Nagar,,,,11,,,,,
,,Thiru-Vi-Ka-Nagar,,,,14,,,,,
,,Thiru-Vi-Ka-Nagar,,,,23,,,,,
,,Thiru-Vi-Ka-Nagar,,,,21,,,,,
,,Thiru-Vi-Ka-Nagar,,,,8,,,,,
,,Thiru-Vi-Ka-Nagar,,,,9,,,,,
,,Thiru-Vi-Ka-Nagar,,,,10,,,,,
,,Thiru-Vi-Ka-Nagar,,,,12,,,,,
,,Thiru-Vi-Ka-Nagar,,,,19,,,,,
,,Thiru-Vi-Ka-Nagar,,,,24,,,,,
,,Thiru-Vi-Ka-Nagar,,,,18,,,,,
,,Thiru-Vi-Ka-Nagar,,,,22,,,,,
,,Thiru-Vi-Ka-Nagar,,,,13,,,,,
,,Thiru-Vi-Ka-Nagar,,,,6,,,,,
,,Egmore,,,,8,,,,,
,,Egmore,,,,1,,,,,
,,Egmore,,,,5,,,,,
,,Egmore,,,,2,,,,,
,,Egmore,,,,4,,,,,
,,Egmore,,,,12,,,,,
,,Egmore,,,,3,,,,,
,,Egmore,,,,15,,,,,
,,Egmore,,,,14,,,,,
,,Egmore,,,,17,,,,,
,,Egmore,,,,19,,,,,
,,Egmore,,,,16,,,,,
,,Egmore,,,,10,,,,,
,,Egmore,,,,18,,,,,
,,Egmore,,,,11,,,,,
,,Egmore,,,,7,,,,,
,,Egmore,,,,13,,,,,
,,Egmore,,,,9,,,,,
,,Egmore,,,,6,,,,,
,,Royapuram,,,,9,,,,,
,,Royapuram,,,,1,,,,,
,,Royapuram,,,,2,,,,,
,,Royapuram,,,,4,,,,,
,,Royapuram,,,,3,,,,,
,,Royapuram,,,,10,,,,,
,,Royapuram,,,,5,,,,,
,,Royapuram,,,,7,,,,,
,,Royapuram,,,,24,,,,,
,,Royapuram,,,,25,,,,,
,,Royapuram,,,,22,,,,,
,,Royapuram,,,,18,,,,,
,,Royapuram,,,,21,,,,,
,,Royapuram,,,,8,,,,,
,,Royapuram,,,,14,,,,,
,,Royapuram,,,,13,,,,,
,,Royapuram,,,,19,,,,,
,,Royapuram,,,,11,,,,,
,,Royapuram,,,,12,,,,,
,,Royapuram,,,,16,,,,,
,,Royapuram,,,,15,,,,,
,,Royapuram,,,,17,,,,,
,,Royapuram,,,,26,,,,,
,,Royapuram,,,,20,,,,,
,,Royapuram,,,,27,,,,,
,,Royapuram,,,,23,,,,,
